FRANCISCO LUCIANO ALVES HONORIO ME;;;;;;;;;;;;;;;;
20/08/2026;;;;;;;Tabela de Preços;;;;;;;;;
09:31:57;;;;;;;;D-Descrição;;;Pág:1;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Codigo;;;;;;;;Descrição;;;;;;;;Qtde.
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3242;;;;FD A G ALINUTRI NATURE F PE GATOS AD (20 X 100 G);;;;;;;;;143;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3241;;;;FD A G ALINUTRI NATURE F PE GATOS AD CASTRADOS (20 X 100 G);;;;;;;;;148;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3243;;;;FD A G ALINUTRI NATURE F PE GATOS FL (20 X 100 G);;;;;;;;;127;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3244;;;;FD A G ALINUTRI NATURE F PRO CAES AD RG (20 X 100 G);;;;;;;;;152;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3245;;;;FD A G ALINUTRI NATURE F PRO CAES AD RP E M (20 X 100 G);;;;;;;;;141;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3246;;;;FD A G ALINUTRI NATURE F PRO CAES FL RG (20 X 100 G);;;;;;;;;265;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3266;;;;FD A G ALINUTRI NATURE F PRO CAES FL RP E M (20 X 100 G);;;;;;;;;27;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3423;;;;FD A G ALINUTRI NATURE F PRO CAES FL RP E M (20 X 100 G);;;;;;;;;130;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3248;;;;FD A G ALINUTRI NATURE F PRO GATOS AD (20 X 100 G);;;;;;;;;122;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3247;;;;FD A G ALINUTRI NATURE F PRO GATOS AD CASTRADOS (20 X 100 G);;;;;;;;;105;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3424;;;;FD A G ALINUTRI NATURE F PRO HIPO CAES AD (20 X 100 G);;;;;;;;;128;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3268;;;;FD A G ALINUTRI NATURE F PRO LIGHT CAES AD RG (20 X 100 G);;;;;;;;;174;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3249;;;;FD A G ALINUTRI NATURE F PRO LIGHT CAES AD RP E M (20X100 G);;;;;;;;;166;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3250;;;;FD A G ALINUTRI NATURE F PRO SENIOR +5 CAES RG (20 X 100 G);;;;;;;;;196;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
3251;;;;FD A G ALINUTRI NATURE F PRO SENIOR +7 CAES RP E M(20X100 G);;;;;;;;;180;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
